PID,UR,AltUR,Alias,Merged,Deleted,IHI,familyName,givenName,birthdate,sex,streetNo,streetName,streetType,suburb,state,postcode,country,longitude,latitude,medicareNo,dvaNo,dvaType,married,race,deathDate
20000,10000,,,,,,BROWN,TONI,1932-07-14,F,99911,MILLENNIUM,CAUSEWAY,Wee Wee Rup,TAS,2671,AUS,147.3754,-33.6566,21498490745,,,S,4,
20001,10006,,,,,,SMITH,BILL,2008-06-25,M,99980,DEER CANYON,STREET,Wedderburn Junction,QLD,2827,AUS,148.2759,-31.6932,27680701761,,,S,4,
20002,10012,,,,,,SMITH,PEARL,1958-08-21,F,99917,HAWKER,VIEW,Sawyers Valley,SA,4174,AUS,153.1275,-27.4440,49752866755,,,M,4,
20003,10018,,,,,,WILLIAMS,PAULINE,1972-04-11,F,99911,MCKELL,PARKWAY,Roxby Downs,WA,7325,AUS,145.5577,-41.0889,51394794462,,,S,4,
20004,10024,,,,,,SMITH,JULIE,2008-02-23,F,99902,ROCK HOLLOW,CENTREWAY,Leighton,TAS,6243,AUS,116.1612,-33.7188,65507050845,,,S,4,
20005,10030,,,,,8003609903579249,SMITH,ROLF,2007-01-10,M,99991,OLIVIA,CRUISEWAY,Whittington,QLD,5471,AUS,138.4578,-33.4623,59143633414,,,S,4,
20006,10035,,,,,,SMITH,JAYNE,1971-12-26,F,99904,RIVER GLEN,PARADE,Papunya,ACT,4287,AUS,152.8010,-28.1910,44835606653,,,M,4,
20007,10040,,,,,8003609903579280,JONES,TINA,1964-06-23,F,99958,BENNETT,CAUSEWAY,Idalia,ACT,2627,AUS,148.2041,-36.4962,29433416034,,,M,4,
20008,10045,,,,,8003609903579322,JONES,ANA,1986-06-17,F,99974,KATE,STREET,Oodla Wirra,NT,4754,AUS,148.8731,-21.1645,41009963224,,,M,4,
20009,10050,,,,,8003609903579363,WILLIAMS,DANIEL,2010-05-11,M,99911,LAMPTON,SQUARE,Weatherboard,NT,4343,AUS,152.2895,-27.5101,43125682572,,,S,4,
20010,10055,305948,,,,8003609903713012,JONES,ALISHA,1949-08-28,F,99995,SPARTA,CRUISEWAY,Berry Mountain,SA,4361,AUS,151.9982,-27.8553,41600812824,,,S,4,
20011,10060,305294,,,,8003609903698221,SMITH,VHINDEL,1979-03-01,M,99914,FARMSTEAD,VIEW,Meldale,SA,6155,AUS,115.8888,-32.0540,67648727175,,,S,4,
20012,10066,,,10045,,8003609903579322,JONES,ANA,1986-06-17,F,99974,KATE,STREET,Oodla Wirra,NT,4754,AUS,148.8731,-21.1645,41009963224,,,M,4,
20013,10071,,,,,8003609903579421,SMITH,SOCORRO,1940-03-21,F,99970,BRADFORD,CIRCUIT,Woongarra,VIC,5351,AUS,138.8374,-34.6279,53666068045,,,M,4,
20014,10077,300588,,,,8003609903592416,SMITH,RALPH,1983-11-09,M,99990,SNOW MTN,STRAND,Mount Hill,ACT,3864,AUS,147.3267,-37.8628,28812379232,,,S,3,
20015,10083,305380,,,,8003609903579330,SMITH (SMITH),LINDA,1952-11-18,F,99962,ASPEN HAVEN,ROAD,Eildon,WA,2134,AUS,151.1041,-33.8783,23427236525,,,M,4,
