PID,UR,Alias,Merged,Deleted,IHI,familyName,givenName,birthdate,sex,streetNo,streetName,streetType,suburb,state,postcode,country,longitude,latitude,medicareNo,dvaNo,dvaType,married,race,deathDate
500000,300000,,,,8003609903579249,SMITH,JANIE,1980-12-13,F,99959,HIGHLANDCV,TERRACE,Cornwallis,SA,4498,AUS,149.7636,-28.2225,41553023145,,,M,4,
500001,300002,,,,8003609903579298,TAYLOR,KEVIN,2016-02-14,M,99973,PAMELA,SQUARE,Goomally,VIC,2011,AUS,151.2283,-33.8716,25833890031,,,S,4,
500002,300004,,,,8003609903579330,SMITH,LINDA,1952-11-18,F,99962,ASPEN HAVEN,ROAD,Eildon,WA,2134,AUS,151.1041,-33.8783,23427236525,,,M,4,
500003,300006,,,,8003609903579371,JONES,ROBERT,2010-09-18,M,99959,FAWN HILL,STREET,Lower Turners Marsh,QLD,3163,AUS,145.0411,-37.8921,32613579854,,,S,4,
500004,300008,,,,8003609903579413,JOHNSON,FRED,1994-07-25,M,99980,ROSEDALE,VISTA,Lalor,ACT,5033,AUS,138.5658,-34.9321,59507559551,,,M,4,
500005,300010,,,,8003609903579462,JOHNSON,SHELLY,2011-08-26,F,99951,HUNTERS CREEK,CRUISEWAY,South Morang,NT,2044,AUS,151.1781,-33.9159,24976625372,,,S,4,
500006,300012,,,,8003609903579504,WILLIAMS,DONALD,1994-09-29,M,99928,AVELINE,TERRACE,Balwyn,QLD,6290,AUS,115.2132,-34.2687,69112759831,,,S,4,
500007,300014,,,,8003609903579546,SMITH,RAMON,1976-04-19,M,99961,STRATTON,RISE,Tiona,WA,3607,AUS,145.1787,-36.8552,37099950653,,,M,4,
500008,300016,,,,8003609903579587,JONES,MARY,2011-03-21,F,99938,CLEGG,CRESCENT,Banyo,SA,3802,AUS,145.2584,-37.9690,37592625965,,,S,4,
500009,300018,,,,8003609903579637,JOHNSON,ROSALINDA,2016-04-15,F,99912,BRAEMAR,AVENUE,Mingenew,VIC,4743,AUS,148.1190,-21.3530,43027340511,,,S,4,
500010,300020,,,,8003609903579686,BROWN,ANGELA,1935-11-24,F,99999,WILD ACRES,WAY,Townsville,WA,5342,AUS,140.5789,-34.2022,58653762035,,,M,4,
500011,300022,,,,8003609903579728,WILLIAMS,ROSE,1983-07-16,F,99925,MARSHWOOD,LANE,Kilkivan,NT,3958,AUS,146.0034,-38.6765,34123453754,,,M,4,
500012,300024,,,,8003609903579777,SMITH,WILLIAM,2004-12-28,M,99937,CASA NEGRA,CONCOURSE,Erica,NT,2580,AUS,149.7802,-34.4080,26734033851,,,S,4,
500013,300026,,,,8003609903579827,WILLIAMS,LAUREN,2012-11-16,F,99998,OREGON TRAIL,CAUSEWAY,Burma Road,ACT,4754,AUS,148.8289,-21.2226,40442004643,,,S,4,
500014,300028,,,,8003609903579876,SMITH,BRENT,1932-10-09,M,99901,QUARRY BEND,AVENUE,Pinny Beach,TAS,3714,AUS,145.7082,-37.2705,37602339931,,,M,4,
500015,300030,,,,8003609903579918,SMITH,FRANK,1957-04-05,M,99933,PEONY,WAY,Yass,TAS,3903,AUS,147.8722,-37.8080,37303292524,,,M,4,
500016,300032,300006,,,8003609903579371,JONES,ANTHONY,2010-09-18,M,99934,JUNIPER TREE,GLEN,Levendale,WA,3806,AUS,145.3493,-38.0425,32613579854,,,S,4,
500017,300034,,,,8003609903580007,WILLIAMS,EVERETT,1969-09-11,M,99903,FRONTIER,CIRCUIT,Mondure,ACT,6443,AUS,121.8004,-32.4268,64533735034,,,M,4,2005-08-29
500018,300036,,,,8003609903580056,WHITE,ELLEN,1981-08-11,F,99971,OLD CREEK,SQUARE,Shallow Bay,TAS,4869,AUS,145.7248,-17.0095,41403559945,,,M,4,
500019,300038,,,,8003609903580098,JONES,EARL,1976-10-10,M,99943,LA CHATEAU,AVENUE,Spencer,ACT,3701,AUS,147.2315,-36.5288,33804826411,,,S,4,
500020,300040,,,,8003609903580130,JONES,PETER,1988-08-12,M,99995,LANNAE,CENTREWAY,Rossgole,NT,3621,AUS,144.9593,-36.2421,33420002664,,,M,4,
500021,300042,,,,8003609903580189,WILSON,MICHAEL,2012-07-09,M,99982,NEVADA,STRAND,Leitchville,ACT,6412,AUS,117.9745,-31.5296,60451067564,,,S,4,
500022,300044,,,,8003609903580239,SMITH,DONALD,1936-08-10,M,99912,SYCAMORE ROW,RIDGE,Hendra,ACT,3544,AUS,143.1168,-35.3960,38354129531,,,M,4,
500023,300046,,300010,,8003609903579462,JOHNSON,SHELLY,2011-08-26,F,99951,HUNTERS CREEK,CRUISEWAY,South Morang,NT,2044,AUS,151.1781,-33.9159,24976625372,,,S,4,
500024,300048,,,,8003609903580320,BROWN,LYMAN,1991-01-21,M,99966,NEWELLWOOD,ESPLANADE,Beaconsfield Upper,ACT,2623,AUS,149.4240,-35.5718,26062845341,,,W,4,
500025,300050,,,,8003609903580379,TAYLOR,PAUL,2001-05-18,M,99928,OHENRY,PARADE,Fannie Bay,ACT,4112,AUS,153.0930,-27.6050,45901020734,,,S,4,
500026,300052,,,,8003609903580429,SMITH,FRANCIS,1932-03-14,M,99953,ANISE,RISE,Yetman,VIC,6367,AUS,118.2899,-32.4298,65641848421,,,S,4,
500027,300054,,,,8003609903580460,BROWN,JUDY,1976-01-16,F,99914,SHARONS,PARADE,Charbon,NT,3438,AUS,144.6085,-37.4502,30683310632,,,M,4,
500028,300056,,,,8003609903580510,WILSON,THOMAS,1983-02-16,M,99968,STEEP MTN,SQUARE,Chelona,NT,2585,AUS,148.5702,-34.5998,21359446443,Q 497669 ,GOL,M,4,
500029,300058,,,,8003609903580569,JONES,JEFFREY,1962-06-01,M,99905,MAPLERIDGE,PARADE,Gwambygine,NSW,7012,AUS,147.1690,-42.8403,54135671255,,,W,4,
500030,300060,,,,8003609903580601,WILLIAMS,SHARON,1969-09-16,F,99994,SWEET MEADOW,HIGHWAY,Gemini Mountains,NT,5433,AUS,138.2239,-32.3672,53236597262,,,M,4,
500031,300062,,,,8003609903580650,WILLIAMS,YVONNE,1945-01-02,F,99997,ALENA,PROMENADE,Carnarvon,SA,4707,AUS,149.2627,-22.0749,42355564414,,,M,4,
500032,300064,,,,8003609903580692,BROWN,FREDERICK,1967-07-16,M,99991,PICKERING,RISE,Main Ridge,NSW,5652,AUS,135.4612,-33.0896,52653860735,,,W,4,
500033,300066,,,,8003609903580734,TAYLOR,MICHAEL,1973-09-02,M,99972,DEER CANYON,VIEW,Drouin East,QLD,2117,AUS,151.0412,-33.7940,22129744725,,,M,4,
500034,300068,,,,8003609903580783,WHITE,REGINALD,1967-08-22,M,99912,AURORA,STREET,St Huberts Island,TAS,6083,AUS,116.1787,-31.7544,64230361974,,,M,4,
500035,300070,,300018,,8003609903579637,JOHNSON,ROSALINDA,2016-04-16,F,99912,BRAEMAR,AVENUE,Mingenew,VIC,4743,AUS,148.1190,-21.3530,43027340511,,,S,4,
500036,300072,,,,8003609903580882,BROWN,LEE,1938-11-04,M,99939,TIKAL,SQUARE,Poltalloch,ACT,2386,AUS,149.1501,-30.0116,27672768522,,,M,4,
500037,300074,,,,8003609903580924,WHITE,HECTOR,1942-11-10,M,99969,LOST TRAIL,CIRCUS,Three Rivers,SA,6355,AUS,119.0243,-33.0857,69589558172,,,S,4,
500038,300076,,,,8003609903580965,SMITH,ROSCOE,1960-03-03,M,99925,FOXBORO,RIDGE,Bullawarra,SA,2563,AUS,150.7570,-34.1016,20032833335,,,W,4,
500039,300078,,,,8003609903581005,TAYLOR,GEORGE,1962-02-16,M,99929,FOX HAVEN,CONCOURSE,Pinwernying,SA,3869,AUS,146.4246,-38.3992,35589629753,,,M,4,
500040,300080,,300008,,8003609903579413,JOHNSON,FRED,1994-07-25,M,99980,ROSEDALE,VISTA,Lalor,ACT,5033,AUS,138.5658,-34.9321,59507559551,,,M,4,
500041,300082,,,,8003609903581088,MARTIN,RAY,1971-07-02,M,99976,JULIE ANN,PARADE,Seven Hills Mc,NT,6251,AUS,115.8663,-33.6737,63270906342,,,D,4,
500042,300084,,,,8003609903581138,WILLIAMS,JOSE,2010-06-10,M,99936,LAVER,CIRCLE,Tyrendarra,QLD,7301,AUS,147.1272,-41.5786,57158386522,,,S,4,
500043,300086,,,,8003609903581179,JONES,TINA,2011-11-19,F,99955,PRIMAVERA,ALLEY,Tantangara,QLD,5014,AUS,138.5156,-34.8741,59501763862,,,S,4,
500044,300088,,,,8003609903581229,SMITH,BRIAN,1989-08-18,M,99959,CANYON OAK,ALLEY,Gundowring,ACT,6112,AUS,115.9276,-32.1486,69592375465,,,M,4,
500045,300090,,300006,,8003609903579371,JONES,ROBERT,2010-09-18,M,99959,FAWN HILL,STREET,Lower Turners Marsh,QLD,3163,AUS,145.0411,-37.8921,32613579854,,,S,4,
500046,300092,,,,8003609903581328,WHITE,ERIKA,1957-09-24,F,99902,SAGEBRUSH,CENTREWAY,Athol,NT,2732,AUS,144.0174,-35.3528,22346505172,,,M,4,
500047,300094,,,,8003609903581377,SMITH,MARGARET,1977-09-07,F,99900,DANSIE,TERRACE,Dandanning,SA,3137,AUS,145.3181,-37.8107,34204740251,,,S,4,
500048,300096,,,,8003609903581427,SMITH,DORIS,1983-10-16,F,99984,WHITEBIRD,PROMENADE,Pacific Heights,ACT,3636,AUS,145.5816,-36.0593,37086604623,,,M,4,
500049,300098,,,,8003609903581476,MARTIN,ELENA,1938-10-19,F,99959,SOVILLE,GROVE,Tura Beach,VIC,6028,AUS,115.7281,-31.7353,64187555961,,,M,4,
500050,300100,,,,8003609903581526,JONES,KERRIE,1989-07-22,F,99966,MARTIS CREEK,WALKWAY,Tantanoola,ACT,2430,AUS,152.4801,-31.9297,27129775251,,,M,4,
500052,300104,,,,8003609903581609,BROWN,JOYCE,1970-09-13,F,99946,BRIDGETON,WAY,Miriam Vale,WA,2573,AUS,150.5906,-34.2292,21052628611,,,D,4,
500053,300106,,,,8003609903581641,WILLIAMS,ANN,1998-09-20,F,99995,BRIDGER,MALL,Tatton,ACT,3571,AUS,144.0860,-36.3686,32839224731,,,S,4,
500054,300108,,,,8003609903581690,BROWN,ANTONIA,1992-08-25,F,99996,STATION,WALK,Gol Gol,NT,3370,AUS,143.8912,-37.2806,34938115844,,,M,4,
500056,300112,,300012,,8003609903579504,WILLIAMS,DONALD,1994-09-29,M,99907,FOGGIA,WALKWAY,Wallarobba,TAS,3204,AUS,145.0377,-37.9227,69112759831,,,S,4,
500057,300114,,,,8003609903581823,SMITH,JASON,1956-12-11,M,99907,BELLE VISTA,TERRACE,Chadstone,NT,5414,AUS,138.8029,-33.9931,53927460641,,,S,4,
500058,300116,,,,8003609903581864,TAYLOR,JOHN,2009-08-03,M,99903,ASPEN HAVEN,LANE,Mackay Mc,ACT,3428,AUS,144.8031,-37.6297,39956922335,,,S,4,
500059,300118,,,,8003609903581906,MARTIN,PAM,1963-09-09,F,99908,WILDCREEK,GLEN,Mount Colah,VIC,6632,AUS,115.1339,-28.7102,68088489921,,,M,4,
500060,300120,,,,8003609903581955,JONES,RAMONA,1948-12-22,F,99925,EVELYN,PROMENADE,Giru,NSW,3104,AUS,145.0846,-37.7908,37227873364,,,W,4,
500061,300122,,,,8003609903582003,BROWN,WILLIAM,1953-02-15,M,99961,BAY MEADOW,PARADE,Natya,ACT,2226,AUS,151.0533,-34.0100,22661947373,,,S,4,
500062,300124,,,,8003609903582045,WHITE,DAMON,1936-07-21,M,99929,PEARBLOSSOM,GROVE,Bolton,NT,4375,AUS,151.9720,-28.5236,42858061025,V 128073 ,NSP,S,4,
